,city,cloudiness,humidity,lat,lon,temp_max,wind_speed
0,New Norfolk,40,76,-42.78,147.06,48.2,10.29
1,Teguldet,80,51,57.31,88.17,72.48,5.41
2,Hobart,40,76,-42.88,147.33,48.2,10.29
3,Barrow,8,91,-38.31,-60.23,34.95,15.03
4,Cayenne,88,100,4.94,-52.33,75.2,5.75
5,Jamestown,92,97,-33.21,138.6,44.31,15.14
6,Dikson,12,93,73.51,80.55,33.6,4.74
7,Kadoma,0,33,-18.34,29.91,74.28,4.52
8,Bamenda,88,98,5.96,10.15,68.25,2.17
9,Hobyo,8,60,5.35,48.53,84.27,19.17
10,Cedar City,1,45,37.68,-113.06,68.0,14.99
11,Honiara,40,83,-9.43,159.96,80.6,8.05
12,Sao Filipe,0,100,14.9,-24.5,71.67,14.03
13,Derzhavinsk,92,70,51.1,66.31,64.2,5.97
14,Kuryk,0,38,43.18,51.68,85.17,12.01
15,Taoudenni,8,17,22.68,-3.98,91.11,15.7
16,Paracuru,40,78,-3.41,-39.03,80.6,12.75
17,Kodiak,1,74,39.95,-94.76,78.8,5.82
18,Luocheng,8,66,28.29,114.55,85.17,5.64
19,Nikolskoye,0,33,59.7,30.79,75.2,11.18
20,Vestmannaeyjar,88,99,63.44,-20.27,47.1,3.74
21,Antalaha,92,100,-14.9,50.28,72.57,9.55
22,Khatanga,20,34,71.98,102.47,78.87,12.12
23,Albany,20,87,42.65,-73.75,51.8,3.96
24,Yellowknife,20,81,62.45,-114.38,51.8,6.93
25,Mahebourg,40,65,-20.41,57.7,77.0,16.11
26,Tacuarembo,0,77,-31.73,-55.98,29.64,3.18
27,Kendari,76,71,-3.99,122.52,80.4,5.08
28,Ixtapa,40,100,20.71,-105.21,78.8,3.36
29,Mandalgovi,56,39,45.76,106.27,76.35,4.63
30,Rikitea,24,100,-23.12,-134.97,75.0,24.32
31,Tuktoyaktuk,36,90,69.44,-133.03,33.8,5.82
32,Tasiilaq,92,80,65.61,-37.64,35.6,2.24
33,Langsa,76,81,4.47,97.97,81.57,1.16
34,Cotonou,20,83,6.37,2.43,80.6,4.7
35,Le Port,0,55,42.87,1.37,59.52,2.06
36,Ushuaia,90,75,-54.81,-68.31,46.4,9.17
37,Palmer,90,76,61.6,-149.11,50.0,13.87
38,Novyy Urengoy,76,57,66.08,76.63,77.34,14.58
39,Punta Arenas,75,80,-53.16,-70.91,41.0,14.99
40,Hithadhoo,20,100,-0.6,73.08,84.54,7.76
41,Willowmore,24,64,-33.3,23.49,48.81,6.42
42,Saint-Philippe,1,76,45.36,-73.48,60.8,3.36
43,Yulara,0,30,-25.24,130.99,68.0,11.41
44,Praia,92,96,-20.25,-43.81,59.61,3.06
45,Bandarbeyla,0,76,9.49,50.81,80.67,28.68
46,Shugurovo,0,44,54.51,52.13,63.57,8.99
47,Mount Isa,0,29,-20.73,139.49,66.2,10.29
48,Upernavik,80,96,72.79,-56.15,31.35,7.65
49,Bredasdorp,88,82,-34.53,20.04,55.4,4.7
50,Diego de Almagro,0,70,-26.39,-70.05,43.14,2.51
51,Mataura,0,79,-46.19,168.86,31.17,4.41
52,Ancud,92,98,-41.87,-73.83,53.22,8.21
53,Ornskoldsvik,0,37,63.29,18.72,66.2,8.05
54,Berlevag,0,59,70.86,29.09,58.8,14.81
55,Pangai,0,100,-19.8,-174.35,76.17,11.79
