Source,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,Mon Jun 18 20:58:38 +0000 2018,"RT @BBCOne: This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/FO9GM9yurk",-0.5267,0.0,0.825,0.175,0
@BBC,Mon Jun 18 20:02:04 +0000 2018,"Monologues inspired by women who have spoken out, challenged the status quo or made a stand - often at great person… https://t.co/kkpLMaYB7X",0.7845,0.284,0.661,0.054,1
@BBC,Mon Jun 18 18:02:04 +0000 2018,"🎧❤️ Casey dreams of one day playing in Ibiza. 
(via @BBCThree) https://t.co/sxEqTuiekr",0.5423,0.31,0.69,0.0,2
@BBC,Mon Jun 18 16:16:09 +0000 2018,"Tonight, @GaryLineker introduces live coverage from the #WorldCup as England take on Africa's highest-ranked team.… https://t.co/qGO8XWrMsB",0.0,0.0,1.0,0.0,3
@BBC,Mon Jun 18 16:02:03 +0000 2018,"✊ @StaceyDooley investigates the changing face of women's protests. 
#HearHer https://t.co/77aW9jzlE0",-0.2263,0.0,0.826,0.174,4
@BBC,Mon Jun 18 15:35:49 +0000 2018,RT @bbcrb: Thank goodness a psychic alpaca has predicted tonight's result. We just couldn't bear the intrigue any longer... 😂️⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿 htt…,0.6705,0.234,0.766,0.0,5
@BBC,Mon Jun 18 15:32:42 +0000 2018,"RT @BBCiPlayer: In 1968, one determined factory worker led her colleagues out on strike for equal pay and better working conditions. 
#Made…",0.5267,0.202,0.687,0.111,6
@BBC,Mon Jun 18 15:32:33 +0000 2018,"RT @BBCOne: To celebrate 70 years of the NHS, @StaceyDooley and @JonniePeacock join a team of celebs to get first-hand experience at one of…",0.7096,0.219,0.781,0.0,7
@BBC,Mon Jun 18 15:28:37 +0000 2018,"RT @bbcthree: This 13-year-old made an app to help disabled people find accessible services. 

Watch more Solutions Lab here: https://t.co/…",0.5709,0.207,0.793,0.0,8
@BBC,Mon Jun 18 14:52:52 +0000 2018,"RT @BBCSport: Brilliant 😂

National Grid is preparing for a power surge equivalent to 23 million fridge doors opening at once at half-time…",0.5859,0.16,0.84,0.0,9
@BBC,Mon Jun 18 13:03:06 +0000 2018,"🎨 What Picasso's Kitchen reveals about his art.
👉 https://t.co/f60bZFnAiv https://t.co/b1xirRNFMC",0.0,0.0,1.0,0.0,10
@BBC,Mon Jun 18 12:03:05 +0000 2018,🤣🐐 This look relaxing to you? https://t.co/v5JwLDN3wm,0.4939,0.348,0.652,0.0,11
@BBC,Mon Jun 18 11:35:41 +0000 2018,"RT @BBCBreakfast: 💪 Another win in the battle against plastic straws! 
#plastic #plasticstraws https://t.co/VsJ7Co4gXU",0.3595,0.231,0.622,0.147,12
@BBC,Mon Jun 18 11:27:11 +0000 2018,"RT @BBC100women: Recently discovered letters written by Emmeline Pankhurst shed new light on the suffragette and her campaign to help the ""…",0.4019,0.114,0.886,0.0,13
@BBC,Mon Jun 18 11:03:06 +0000 2018,🎾 Sue Barker hosts live coverage of the opening day of the Championships from the famous Queen's Club in west Londo… https://t.co/KaUoUWXRTE,0.4939,0.138,0.862,0.0,14
@BBC,Mon Jun 18 10:49:28 +0000 2018,"RT @BBCEngland: After more than 50 years of ""hurt"" could this be England's World Cup?  The answer lies with Gareth Southgate's 23-man squad…",-0.4215,0.0,0.887,0.113,15
@BBC,Mon Jun 18 10:46:18 +0000 2018,RT @bbcpress: #CBeebiesRadio presents four stories based on the real life experiences of refugee families and told from the perspectives of…,0.0,0.0,1.0,0.0,16
@BBC,Mon Jun 18 09:47:14 +0000 2018,🐔🚚 A stowaway hen found itself on a real-life Chicken Run when it hitched a ride out of its farm on a supermarket l… https://t.co/U5dqv2LxvB,0.0,0.0,1.0,0.0,17
@BBC,Mon Jun 18 08:43:27 +0000 2018,RT @BBCOne: “At the end of the year I will have been chairing Question Time for a quarter of a century and I have decided that this is the…,0.0,0.0,1.0,0.0,18
